Age,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Survived
young,cheap,alone,811,3,male,alone,0
middle age,normal price,alone,812,3,male,alone,0
middle age,normal price,alone,813,2,male,alone,0
teen,normal price,accompanied,814,3,female,accompanied,0
middle age,cheap,alone,815,3,male,alone,0
young,cheap,alone,817,3,female,alone,0
middle age,normal price,Pair,818,2,male,Pair,0
middle age,cheap,alone,819,3,male,alone,0
teen,normal price,accompanied,820,3,male,accompanied,0
old,normal price,Pair,821,1,female,Pair,1
young,cheap,alone,822,3,male,alone,1
middle age,cheap,alone,823,1,male,alone,0
young,normal price,Pair,824,3,female,alone,1
teen,normal price,Pair,825,3,male,accompanied,0
teen,normal price,accompanied,828,2,male,alone,1
very old,normal price,alone,830,1,female,alone,1
teen,normal price,alone,831,3,female,Pair,1
teen,normal price,Pair,832,2,male,Pair,1
young,cheap,alone,834,3,male,alone,0
young,cheap,alone,835,3,male,alone,0
middle age,normal price,Pair,836,1,female,Pair,1
young,cheap,alone,837,3,male,alone,0
middle age,normal price,alone,839,3,male,alone,1
young,cheap,alone,841,3,male,alone,0
young,normal price,alone,842,2,male,alone,0
young,normal price,alone,843,1,female,alone,1
middle age,cheap,alone,844,3,male,alone,0
young,cheap,alone,845,3,male,alone,0
middle age,cheap,alone,846,3,male,alone,0
middle age,cheap,alone,848,3,male,alone,0
young,normal price,Pair,849,2,male,alone,0
teen,normal price,accompanied,851,3,male,accompanied,0
very old,cheap,alone,852,3,male,alone,0
teen,normal price,Pair,853,3,female,Pair,0
young,normal price,Pair,854,1,female,alone,1
middle age,normal price,alone,855,2,female,Pair,0
young,cheap,Pair,856,3,female,alone,1
middle age,expensive,Pair,857,1,female,Pair,1
old,normal price,alone,858,1,male,alone,1
young,normal price,accompanied,859,3,female,alone,1
middle age,normal price,alone,861,3,male,accompanied,0
young,normal price,alone,862,2,male,Pair,0
old,normal price,alone,863,1,female,alone,1
young,normal price,alone,865,2,male,alone,0
middle age,normal price,alone,866,2,female,alone,1
young,normal price,alone,867,2,female,Pair,1
middle age,normal price,alone,868,1,male,alone,0
teen,normal price,Pair,870,3,male,Pair,1
young,cheap,alone,871,3,male,alone,0
old,normal price,Pair,872,1,female,Pair,1
middle age,cheap,alone,873,1,male,alone,0
old,cheap,alone,874,3,male,alone,0
young,normal price,alone,875,2,female,Pair,1
teen,cheap,alone,876,3,female,alone,1
young,cheap,alone,877,3,male,alone,0
young,cheap,alone,878,3,male,alone,0
old,normal price,Pair,880,1,female,alone,1
young,normal price,Pair,881,2,female,alone,1
middle age,cheap,alone,882,3,male,alone,0
young,normal price,alone,883,3,female,alone,0
young,normal price,alone,884,2,male,alone,0
young,cheap,alone,885,3,male,alone,0
middle age,normal price,accompanied,886,3,female,alone,0
young,normal price,alone,887,2,male,alone,0
young,normal price,alone,888,1,female,alone,1
young,normal price,alone,890,1,male,alone,1
middle age,cheap,alone,891,3,male,alone,0
